programa,variante,N,imagen,hilos,tiempo_mediana,speedup,eficiencia
riemann,secuencial,10000000,,1,0.012117300007957965,1.0,1.0
riemann,paralelo,10000000,,1,0.013281999999890104,0.912309893695093,0.912309893695093
riemann,paralelo,10000000,,2,0.008317500003613532,1.456844003930702,0.728422001965351
riemann,paralelo,10000000,,4,0.007376800000201911,1.6426228185156575,0.4106557046289144
riemann,paralelo,10000000,,8,0.007095799985108897,1.7076721487904234,0.21345901859880292
riemann,secuencial,50000000,,1,0.0334809000196401,1.0,1.0
riemann,paralelo,50000000,,1,0.03368699998827651,0.993881913832988,0.993881913832988
riemann,paralelo,50000000,,2,0.021094299998367205,1.5872012829167916,0.7936006414583958
riemann,paralelo,50000000,,4,0.013518699997803196,2.476636068932722,0.6191590172331805
riemann,paralelo,50000000,,8,0.011720499984221533,2.8566102183962316,0.35707627729952895
riemann,secuencial,100000000,,1,0.06321039999602363,1.0,1.0
riemann,paralelo,100000000,,1,0.06284670002060011,1.0057870974180714,1.0057870974180714
riemann,paralelo,100000000,,2,0.034936899988679215,1.8092732903178592,0.9046366451589296
riemann,paralelo,100000000,,4,0.022333400003844872,2.8303079685646364,0.7075769921411591
riemann,paralelo,100000000,,8,0.016338199988240376,3.8688717264766073,0.4836089658095759
riemann,secuencial,500000000,,1,0.2899193000048399,1.0,1.0
riemann,paralelo,500000000,,1,0.28127360000507906,1.0307376874317558,1.0307376874317558
riemann,paralelo,500000000,,2,0.15302320002228953,1.8946100980936873,0.9473050490468437
riemann,paralelo,500000000,,4,0.0840854000125546,3.4479148575323744,0.8619787143830936
riemann,paralelo,500000000,,8,0.05559720000019297,5.214638507044125,0.6518298133805156
blur,secuencial,0,pequena,1,0.1463320000038948,1.0,1.0
blur,paralelo,0,pequena,1,0.15342280000913888,0.9537826189795668,0.9537826189795668
blur,paralelo,0,pequena,2,0.1468493000138551,0.9964773409889492,0.4982386704944746
blur,paralelo,0,pequena,4,0.14658100000815466,0.9983012804917007,0.2495753201229252
blur,paralelo,0,pequena,8,0.13939419999951497,1.0497710808943554,0.13122138511179443
blur,secuencial,0,mediana,1,2.1291226999892388,1.0,1.0
blur,paralelo,0,mediana,1,2.232571500004269,0.9536638356196733,0.9536638356196733
blur,paralelo,0,mediana,2,2.224407500005327,0.9571639638798826,0.4785819819399413
blur,paralelo,0,mediana,4,2.255057400005171,0.944154547899471,0.23603863697486774
blur,paralelo,0,mediana,8,2.1651550999959,0.9833580513438832,0.1229197564179854
blur,secuencial,0,grande,1,0.21311270000296645,1.0,1.0
blur,paralelo,0,grande,1,0.2298892000108026,0.9270235400051511,0.9270235400051511
blur,paralelo,0,grande,2,0.20199339999817312,1.0550478382209216,0.5275239191104608
blur,paralelo,0,grande,4,0.2049717000045348,1.0397176780904462,0.25992941952261156
blur,paralelo,0,grande,8,0.20948319998569787,1.0173259718083187,0.12716574647603984
