programa,variante,N,imagen,hilos,tiempo_mediana,speedup,eficiencia
riemann,secuencial,10000000,,1,0.10035149997565895,1.0,1.0
riemann,paralelo,10000000,,1,0.07483270007651299,1.3410113476201468,1.3410113476201468
riemann,paralelo,10000000,,2,0.08415669994428754,1.1924362533475352,0.5962181266737676
riemann,paralelo,10000000,,4,0.04634940007235855,2.1651089295437442,0.5412772323859361
riemann,paralelo,10000000,,8,0.03673190006520599,2.7319986114934505,0.3414998264366813
riemann,secuencial,50000000,,1,0.1751036000205204,1.0,1.0
riemann,paralelo,50000000,,1,0.17280539998319,1.0132993531310592,1.0132993531310592
riemann,paralelo,50000000,,2,0.091075100004673,1.9226286878799577,0.9613143439399788
riemann,paralelo,50000000,,4,0.060048499959520996,2.9160362063758236,0.7290090515939559
riemann,paralelo,50000000,,8,0.05216089996974915,3.356989624835311,0.4196237031044139
riemann,secuencial,100000000,,1,0.4259761000284925,1.0,1.0
riemann,paralelo,100000000,,1,0.29391789995133877,1.4493030199896548,1.4493030199896548
riemann,paralelo,100000000,,2,0.16357659990899265,2.604138368602161,1.3020691843010805
riemann,paralelo,100000000,,4,0.08422289998270571,5.057723019700844,1.264430754925211
riemann,paralelo,100000000,,8,0.08606710005551577,4.949348819162323,0.6186686023952904
riemann,secuencial,500000000,,1,1.6645207999972627,1.0,1.0
riemann,paralelo,500000000,,1,1.1447175000794232,1.4540887161083624,1.4540887161083624
riemann,paralelo,500000000,,2,0.5587811000877991,2.9788423404723656,1.4894211702361828
riemann,paralelo,500000000,,4,0.32535529998131096,5.116009482841915,1.2790023707104787
riemann,paralelo,500000000,,8,0.21059350005816668,7.903951449296944,0.987993931162118
blur,secuencial,0,pequena,1,0.9231016000267118,1.0,1.0
blur,paralelo,0,pequena,1,0.800529700005427,1.153113494752854,1.153113494752854
blur,paralelo,0,pequena,2,0.7453412000322714,1.2384953360779516,0.6192476680389758
blur,paralelo,0,pequena,4,0.7481127999490127,1.2339069724373455,0.30847674310933637
blur,paralelo,0,pequena,8,0.9915825000498444,0.9309377686479036,0.11636722108098795
blur,secuencial,0,mediana,1,19.54990490002092,1.0,1.0
blur,paralelo,0,mediana,1,19.84568880009465,0.9850958108305962,0.9850958108305962
blur,paralelo,0,mediana,2,18.91724520002026,1.033443542826203,0.5167217714131015
blur,paralelo,0,mediana,4,19.454805699991994,1.0048882112468984,0.2512220528117246
blur,paralelo,0,mediana,8,23.77901389996987,0.822149521517614,0.10276869018970175
blur,secuencial,0,grande,1,0.8250801000976935,1.0,1.0
blur,paralelo,0,grande,1,0.7579814000055194,1.0885228847194477,1.0885228847194477
blur,paralelo,0,grande,2,0.8937970999395475,0.9231178979586064,0.4615589489793032
blur,paralelo,0,grande,4,0.8031468000262976,1.027309204333103,0.2568273010832757
blur,paralelo,0,grande,8,0.8769508000696078,0.9408510717274025,0.1176063839659253
