programa,variante,N,imagen,hilos,tiempo_mediana,speedup,eficiencia
riemann,secuencial,10000000,,1,0.015179099995293655,1.0,1.0
riemann,paralelo,10000000,,1,0.022289599997748155,0.6809947238544949,0.6809947238544949
riemann,paralelo,10000000,,2,0.010964299995976035,1.3844112256016778,0.6922056128008389
riemann,paralelo,10000000,,4,0.00944080000044778,1.6078192520309407,0.40195481300773517
riemann,paralelo,10000000,,8,0.009086099998967256,1.6705847389990138,0.20882309237487673
riemann,secuencial,50000000,,1,0.035635699998238124,1.0,1.0
riemann,paralelo,50000000,,1,0.036044300002686214,0.9886639495171875,0.9886639495171875
riemann,paralelo,50000000,,2,0.0218862000037916,1.6282269188833391,0.8141134594416696
riemann,paralelo,50000000,,4,0.017356399999698624,2.0531734690867287,0.5132933672716822
riemann,paralelo,50000000,,8,0.013645699997141492,2.6114966623700586,0.3264370827962573
riemann,secuencial,100000000,,1,0.062361099997360725,1.0,1.0
riemann,paralelo,100000000,,1,0.06199259999993956,1.005944257821442,1.005944257821442
riemann,paralelo,100000000,,2,0.03549100000236649,1.7570961650334613,0.8785480825167307
riemann,paralelo,100000000,,4,0.022824400002718903,2.7322120182757095,0.6830530045689274
riemann,paralelo,100000000,,8,0.018872200002078898,3.304389524829709,0.41304869060371363
riemann,secuencial,500000000,,1,0.28238620000047376,1.0,1.0
riemann,paralelo,500000000,,1,0.27998829999705777,1.0085642864485451,1.0085642864485451
riemann,paralelo,500000000,,2,0.14495280000119237,1.9481251828053745,0.9740625914026873
riemann,paralelo,500000000,,4,0.08013729999947827,3.5237798129249702,0.8809449532312426
riemann,paralelo,500000000,,8,0.05566540000290843,5.0729214195122925,0.6341151774390366
blur,secuencial,0,pequena,1,0.13616729999921517,1.0,1.0
blur,paralelo,0,pequena,1,0.13704770000185817,0.9935759593000754,0.9935759593000754
blur,paralelo,0,pequena,2,0.13652140000340296,0.9974062674117101,0.49870313370585506
blur,paralelo,0,pequena,4,0.13813300000037998,0.9857695119836722,0.24644237799591806
blur,paralelo,0,pequena,8,0.13643389999924693,0.9980459401949718,0.12475574252437148
blur,secuencial,0,mediana,1,2.0688055000064196,1.0,1.0
blur,paralelo,0,mediana,1,2.0858367000037106,0.9918348353937484,0.9918348353937484
blur,paralelo,0,mediana,2,2.069782500002475,0.999527969728194,0.499763984864097
blur,paralelo,0,mediana,4,2.068979700001364,0.9999158039129411,0.24997895097823528
blur,paralelo,0,mediana,8,2.0605407999973977,1.0040109373272454,0.12550136716590568
blur,secuencial,0,grande,1,0.19001630000275327,1.0,1.0
blur,paralelo,0,grande,1,0.19421509999665432,0.9783806717707666,0.9783806717707666
blur,paralelo,0,grande,2,0.18249610000202665,1.0412074559436784,0.5206037279718392
blur,paralelo,0,grande,4,0.1830822000047192,1.0378742444533402,0.25946856111333505
blur,paralelo,0,grande,8,0.1808376999979373,1.0507560094212691,0.13134450117765864
